<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.15	12:30:00	3344.30	3344.86	3340.55	3341.84	2744	0	8
2025.08.15	12:45:00	3341.85	3343.21	3341.04	3342.79	1999	0	8
2025.08.15	13:00:00	3342.80	3342.81	3339.35	3340.09	2556	0	8
2025.08.15	13:15:00	3340.13	3341.19	3337.47	3338.17	2397	0	8
2025.08.15	13:30:00	3338.17	3339.60	3337.05	3338.36	2373	0	8
2025.08.15	13:45:00	3338.31	3340.54	3336.44	3337.75	2811	0	8
2025.08.15	14:00:00	3337.76	3340.74	3337.20	3339.76	2845	0	8
2025.08.15	14:15:00	3339.75	3340.35	3337.78	3340.09	2081	0	8
2025.08.15	14:30:00	3340.10	3343.98	3339.89	3343.32	3076	0	8
2025.08.15	14:45:00	3343.33	3344.15	3342.01	3342.39	2666	0	8
2025.08.15	15:00:00	3342.39	3342.91	3338.63	3339.00	2868	0	8
2025.08.15	15:15:00	3338.78	3339.83	3336.97	3337.56	3935	0	8
2025.08.15	15:30:00	3337.71	3343.71	3333.66	3342.89	5721	0	8
2025.08.15	15:45:00	3342.91	3343.92	3340.42	3342.70	4703	0	8
2025.08.15	16:00:00	3342.70	3345.98	3340.48	3341.45	4408	0	8
2025.08.15	16:15:00	3341.44	3341.71	3336.44	3338.50	4876	0	8
2025.08.15	16:30:00	3338.51	3340.23	3334.90	3336.38	5321	0	8
2025.08.15	16:45:00	3336.39	3337.24	3333.03	3335.51	5103	0	8
2025.08.15	17:00:00	3335.44	3341.08	3335.18	3338.83	4726	0	8
2025.08.15	17:15:00	3338.82	3342.74	3338.37	3338.49	4676	0	8
2025.08.15	17:30:00	3338.48	3343.36	3338.48	3342.09	4130	0	8
2025.08.15	17:45:00	3342.13	3343.69	3340.48	3341.85	3401	0	8
2025.08.15	18:00:00	3341.88	3344.68	3341.84	3342.48	3751	0	8
2025.08.15	18:15:00	3342.48	3344.07	3341.92	3343.38	3028	0	8
2025.08.15	18:30:00	3343.38	3345.14	3342.16	3342.63	2753	0	8
2025.08.15	18:45:00	3342.65	3343.75	3341.39	3342.40	2836	0	8
2025.08.15	19:00:00	3342.41	3342.50	3339.76	3339.83	2673	0	8
2025.08.15	19:15:00	3339.78	3340.37	3337.17	3338.80	2896	0	8
2025.08.15	19:30:00	3338.81	3339.49	3337.60	3338.53	2581	0	8
2025.08.15	19:45:00	3338.53	3338.61	3335.83	3338.24	2796	0	8
2025.08.15	20:00:00	3338.24	3339.01	3335.17	3335.83	2632	0	8
2025.08.15	20:15:00	3335.84	3337.56	3335.79	3336.49	2217	0	8
2025.08.15	20:30:00	3336.50	3337.33	3335.61	3336.70	2066	0	8
2025.08.15	20:45:00	3336.70	3336.75	3335.53	3336.08	1913	0	8
2025.08.15	21:00:00	3336.08	3336.51	3334.73	3336.31	2368	0	8
2025.08.15	21:15:00	3336.29	3338.32	3336.27	3337.20	2067	0	8
2025.08.15	21:30:00	3337.20	3337.69	3336.68	3336.84	1553	0	8
2025.08.15	21:45:00	3336.85	3336.86	3335.65	3336.01	1885	0	8
2025.08.15	22:00:00	3336.03	3336.39	3334.46	3335.37	2092	0	8
2025.08.15	22:15:00	3335.39	3337.50	3335.31	3337.31	1779	0	8
2025.08.15	22:30:00	3337.32	3338.34	3336.93	3337.01	2337	0	8
2025.08.15	22:45:00	3337.08	3339.67	3336.68	3339.19	2589	0	8
2025.08.15	23:00:00	3339.19	3339.51	3338.16	3338.23	1426	0	8
2025.08.15	23:15:00	3338.23	3338.37	3336.39	3336.98	1311	0	8
2025.08.15	23:30:00	3336.96	3337.44	3336.23	3336.37	1207	0	8
2025.08.15	23:45:00	3336.35	3336.94	3335.64	3335.86	1103	0	8
2025.08.18	01:00:00	3336.64	3339.12	3333.03	3333.47	1313	0	8
2025.08.18	01:15:00	3333.47	3335.37	3333.09	3335.09	787	0	8
2025.08.18	01:30:00	3335.09	3335.20	3334.02	3334.73	532	0	8
2025.08.18	01:45:00	3334.73	3335.08	3334.06	3334.34	312	0	8
2025.08.18	02:00:00	3334.34	3334.44	3330.16	3330.29	905	0	8
2025.08.18	02:15:00	3330.29	3330.79	3323.56	3329.09	1880	0	8
2025.08.18	02:30:00	3329.09	3329.58	3327.86	3328.25	777	0	8
2025.08.18	02:45:00	3328.25	3328.45	3325.83	3327.05	969	0	8
2025.08.18	03:00:00	3327.05	3335.06	3326.76	3334.83	1782	0	8
2025.08.18	03:15:00	3334.86	3342.15	3334.22	3340.26	2791	0	8
2025.08.18	03:30:00	3340.26	3341.50	3338.81	3340.74	1871	0	8
2025.08.18	03:45:00	3340.74	3342.79	3340.20	3340.63	1629	0	8
2025.08.18	04:00:00	3340.58	3344.13	3340.09	3342.77	2406	0	8
2025.08.18	04:15:00	3342.77	3343.99	3339.82	3340.39	1670	0	8
2025.08.18	04:30:00	3340.39	3345.56	3339.61	3344.28	1996	0	8
2025.08.18	04:45:00	3344.28	3347.41	3343.70	3346.83	2097	0	8
2025.08.18	05:00:00	3346.86	3347.60	3344.49	3344.54	1426	0	8
2025.08.18	05:15:00	3344.54	3344.69	3342.41	3342.76	1131	0	8
2025.08.18	05:30:00	3342.76	3344.74	3342.71	3344.11	1673	0	8
2025.08.18	05:45:00	3344.11	3344.38	3342.70	3343.38	892	0	8
2025.08.18	06:00:00	3343.35	3345.97	3343.31	3344.09	1122	0	8
2025.08.18	06:15:00	3344.09	3347.00	3343.94	3346.73	1110	0	8
2025.08.18	06:30:00	3346.73	3348.54	3346.52	3348.35	1088	0	8
2025.08.18	06:45:00	3348.35	3351.84	3346.53	3347.03	2035	0	8
2025.08.18	07:00:00	3347.04	3350.90	3346.80	3350.80	1219	0	8
2025.08.18	07:15:00	3350.80	3352.74	3350.57	3352.33	1274	0	8
2025.08.18	07:30:00	3352.33	3355.55	3352.32	3355.09	1725	0	8
2025.08.18	07:45:00	3355.09	3358.14	3355.09	3357.50	1705	0	8
2025.08.18	08:00:00	3357.50	3358.41	3354.88	3355.20	1529	0	8
2025.08.18	08:15:00	3355.20	3355.48	3351.25	3351.27	1426	0	8
2025.08.18	08:30:00	3351.27	3351.56	3346.64	3348.13	2609	0	8
2025.08.18	08:45:00	3348.13	3351.21	3347.05	3349.56	2058	0	8
2025.08.18	09:00:00	3349.56	3351.24	3348.93	3349.67	1476	0	8
2025.08.18	09:15:00	3349.67	3349.86	3346.21	3349.49	1973	0	8
2025.08.18	09:30:00	3349.49	3350.82	3348.26	3349.47	1408	0	8
2025.08.18	09:45:00	3349.47	3350.46	3347.82	3349.53	1670	0	8
2025.08.18	10:00:00	3349.70	3354.28	3348.26	3353.77	2269	0	8
2025.08.18	10:15:00	3353.77	3355.70	3352.41	3352.41	2024	0	8
2025.08.18	10:30:00	3352.41	3352.75	3349.00	3350.70	1380	0	8
2025.08.18	10:45:00	3350.70	3351.28	3347.28	3349.04	1748	0	8
2025.08.18	11:00:00	3349.04	3349.89	3344.66	3345.49	1819	0	8
2025.08.18	11:15:00	3345.45	3347.97	3344.68	3347.84	1833	0	8
2025.08.18	11:30:00	3347.84	3348.91	3346.75	3348.77	1528	0	8
2025.08.18	11:45:00	3348.77	3349.84	3347.67	3348.71	1021	0	8
2025.08.18	12:00:00	3348.70	3351.13	3348.24	3350.39	945	0	8
2025.08.18	12:15:00	3350.39	3350.54	3348.19	3348.67	1002	0	8
2025.08.18	12:30:00	3348.67	3351.72	3347.86	3349.39	1564	0	8
2025.08.18	12:45:00	3349.38	3350.59	3347.63	3348.16	1175	0	8
2025.08.18	13:00:00	3348.16	3350.33	3348.00	3350.01	1031	0	8
2025.08.18	13:15:00	3350.01	3351.39	3348.04	3348.68	1022	0	8
